game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,two_vs_one,2,Erin | Brent | Erin,Erin,True,2,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Mitchell,No Werewolf,all_different,3,Justin | Mitchell | No Werewolf,,False,3,
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Dan,Dan,Dan,unanimous,1,Dan | Dan | Dan,Dan,True,1,True
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,unanimous,1,Dylan | Dylan | Dylan,Dylan,True,1,True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Kelsey,Kelsey,Kelsey,unanimous,1,Kelsey | Kelsey | Kelsey,Kelsey,True,1,False
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,unanimous,1,Dylan | Dylan | Dylan,Dylan,True,1,False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Dustin,Dustin,Dustin,unanimous,1,Dustin | Dustin | Dustin,Dustin,True,1,True
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Pete,unanimous,1,Pete | Pete | Pete,Pete,True,1,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Katie,Katie,Katie,unanimous,1,Katie | Katie | Katie,Katie,True,1,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,No Werewolf,No Werewolf,two_vs_one,2,Katie | No Werewolf | No Werewolf,No Werewolf,True,2,False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Brett,Katie,Katie,two_vs_one,2,Brett | Katie | Katie,Katie,True,2,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,False
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Eric,Shane,Eric,two_vs_one,2,Eric | Shane | Eric,Eric,True,2,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Paul,Paul,two_vs_one,2,Justin | Paul | Paul,Paul,True,2,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,No Werewolf,Mike,Mike,two_vs_one,2,No Werewolf | Mike | Mike,Mike,True,2,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Mike,Mike,Eric,two_vs_one,2,Mike | Mike | Eric,Mike,True,2,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Eric,Eric,Eric,unanimous,1,Eric | Eric | Eric,Eric,True,1,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Tyler,Justin,two_vs_one,2,Justin | Tyler | Justin,Justin,True,2,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,Paul,No Werewolf,two_vs_one,2,Paul | Paul | No Werewolf,Paul,True,2,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Laura,James,Laura,two_vs_one,2,Laura | James | Laura,Laura,True,2,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Laura,Laura,No Werewolf,two_vs_one,2,Laura | Laura | No Werewolf,Laura,True,2,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Mitchell,two_vs_one,2,Justin | Justin | Mitchell,Justin,True,2,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
