game_id,source,split,session_name,game_key,num_turns,num_players,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,123,5,0,63,5,60,63,11,1,6,11,6,30,63,65,0.4878048780487805,0.5121951219512195,0.04065040650406504,0.08943089430894309,0.008130081300813009,0.04878048780487805,0.08943089430894309,0.04878048780487805,0.24390243902439024
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,97,5,0,43,10,54,43,13,3,4,12,10,22,43,64,0.5567010309278351,0.44329896907216493,0.10309278350515463,0.13402061855670103,0.030927835051546393,0.041237113402061855,0.12371134020618557,0.10309278350515463,0.2268041237113402
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game3,18,5,0,5,5,13,5,5,2,2,4,4,1,5,18,0.7222222222222222,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.05555555555555555
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game4,103,5,0,64,6,39,64,8,8,6,5,3,15,64,45,0.3786407766990291,0.6213592233009708,0.05825242718446602,0.07766990291262135,0.07766990291262135,0.05825242718446602,0.04854368932038835,0.02912621359223301,0.14563106796116504
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game5,35,5,0,23,2,12,23,1,3,1,4,3,2,23,14,0.34285714285714286,0.6571428571428571,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.05714285714285714
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game6,74,5,0,38,1,36,38,4,0,5,9,4,15,38,37,0.4864864864864865,0.5135135135135135,0.013513513513513514,0.05405405405405406,0.0,0.06756756756756757,0.12162162162162163,0.05405405405405406,0.20270270270270271
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game7,52,5,0,32,1,20,32,0,2,1,8,2,8,32,21,0.38461538461538464,0.6153846153846154,0.019230769230769232,0.0,0.038461538461538464,0.019230769230769232,0.15384615384615385,0.038461538461538464,0.15384615384615385
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,121,5,0,44,8,77,44,18,2,8,19,11,28,44,86,0.6363636363636364,0.36363636363636365,0.06611570247933884,0.1487603305785124,0.01652892561983471,0.06611570247933884,0.15702479338842976,0.09090909090909091,0.23140495867768596
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game1,61,3,0,24,3,37,24,7,5,10,3,1,14,24,40,0.6065573770491803,0.39344262295081966,0.04918032786885246,0.11475409836065574,0.08196721311475409,0.16393442622950818,0.04918032786885246,0.01639344262295082,0.22950819672131148
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,97,3,0,45,13,52,45,16,3,11,7,16,13,45,66,0.5360824742268041,0.4639175257731959,0.13402061855670103,0.16494845360824742,0.030927835051546393,0.1134020618556701,0.07216494845360824,0.16494845360824742,0.13402061855670103
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game3,99,3,0,32,7,67,32,18,2,9,10,13,22,32,74,0.6767676767676768,0.32323232323232326,0.0707070707070707,0.18181818181818182,0.020202020202020204,0.09090909090909091,0.10101010101010101,0.13131313131313133,0.2222222222222222
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game4,84,3,0,48,2,36,48,9,2,5,3,7,12,48,38,0.42857142857142855,0.5714285714285714,0.023809523809523808,0.10714285714285714,0.023809523809523808,0.05952380952380952,0.03571428571428571,0.08333333333333333,0.14285714285714285
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game5,85,3,0,35,4,50,35,18,4,8,4,3,17,35,54,0.5882352941176471,0.4117647058823529,0.047058823529411764,0.21176470588235294,0.047058823529411764,0.09411764705882353,0.047058823529411764,0.03529411764705882,0.2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game6,37,3,0,22,5,15,22,2,2,1,7,2,6,22,20,0.40540540540540543,0.5945945945945946,0.13513513513513514,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.1891891891891892,0.05405405405405406,0.16216216216216217
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game7,55,3,0,30,2,25,30,8,1,0,3,3,12,30,27,0.45454545454545453,0.5454545454545454,0.03636363636363636,0.14545454545454545,0.01818181818181818,0.0,0.05454545454545454,0.05454545454545454,0.21818181818181817
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game8,90,3,0,39,6,51,39,14,5,4,8,6,20,39,57,0.5666666666666667,0.43333333333333335,0.06666666666666667,0.15555555555555556,0.05555555555555555,0.044444444444444446,0.08888888888888889,0.06666666666666667,0.2222222222222222
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,158,6,0,71,11,87,71,40,8,10,8,14,20,71,100,0.5506329113924051,0.44936708860759494,0.06962025316455696,0.25316455696202533,0.05063291139240506,0.06329113924050633,0.05063291139240506,0.08860759493670886,0.12658227848101267
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,114,6,0,45,15,69,45,32,2,6,8,20,18,45,86,0.6052631578947368,0.39473684210526316,0.13157894736842105,0.2807017543859649,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.17543859649122806,0.15789473684210525
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016,Game2,138,6,0,64,9,74,64,25,7,10,8,9,24,64,83,0.5362318840579711,0.463768115942029,0.06521739130434782,0.18115942028985507,0.050724637681159424,0.07246376811594203,0.057971014492753624,0.06521739130434782,0.17391304347826086
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016,Game1,94,4,0,40,15,54,40,9,15,22,14,4,7,40,71,0.574468085106383,0.425531914893617,0.1595744680851064,0.09574468085106383,0.1595744680851064,0.23404255319148937,0.14893617021276595,0.0425531914893617,0.07446808510638298
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game1,139,4,0,50,30,89,50,17,9,36,20,9,35,50,126,0.6402877697841727,0.3597122302158273,0.2158273381294964,0.1223021582733813,0.06474820143884892,0.2589928057553957,0.14388489208633093,0.06474820143884892,0.2517985611510791
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game2,120,4,2,27,30,91,29,23,4,34,24,11,27,29,123,0.7583333333333333,0.24166666666666667,0.25,0.19166666666666668,0.03333333333333333,0.2833333333333333,0.2,0.09166666666666666,0.225
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game3,121,4,1,41,23,79,42,18,4,25,27,6,24,42,104,0.6528925619834711,0.34710743801652894,0.19008264462809918,0.1487603305785124,0.03305785123966942,0.2066115702479339,0.2231404958677686,0.049586776859504134,0.19834710743801653
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017,Game1,135,4,0,73,21,62,73,23,2,25,12,4,22,73,88,0.45925925925925926,0.5407407407407407,0.15555555555555556,0.17037037037037037,0.014814814814814815,0.18518518518518517,0.08888888888888889,0.02962962962962963,0.16296296296296298
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017,Game2,125,4,0,49,26,76,49,24,6,31,15,4,23,49,103,0.608,0.392,0.208,0.192,0.048,0.248,0.12,0.032,0.184
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017,Game1,87,4,0,27,23,60,27,14,15,20,17,9,15,27,90,0.6896551724137931,0.3103448275862069,0.26436781609195403,0.16091954022988506,0.1724137931034483,0.22988505747126436,0.19540229885057472,0.10344827586206896,0.1724137931034483
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018,Game2,161,5,2,38,29,121,40,23,10,41,24,12,43,40,153,0.7515527950310559,0.2484472049689441,0.18012422360248448,0.14285714285714285,0.062111801242236024,0.2546583850931677,0.14906832298136646,0.07453416149068323,0.2670807453416149
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018,Game3,126,5,3,45,20,78,48,17,7,28,16,4,31,48,103,0.6190476190476191,0.38095238095238093,0.15873015873015872,0.1349206349206349,0.05555555555555555,0.2222222222222222,0.12698412698412698,0.031746031746031744,0.24603174603174602
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game1,128,6,1,35,20,92,36,28,6,35,15,6,24,36,114,0.71875,0.28125,0.15625,0.21875,0.046875,0.2734375,0.1171875,0.046875,0.1875
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game2,174,6,0,32,46,142,32,25,14,65,36,11,45,32,196,0.8160919540229885,0.1839080459770115,0.26436781609195403,0.14367816091954022,0.08045977011494253,0.3735632183908046,0.20689655172413793,0.06321839080459771,0.25862068965517243
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game3,130,6,3,20,27,107,23,21,22,47,18,6,25,23,139,0.823076923076923,0.17692307692307693,0.2076923076923077,0.16153846153846155,0.16923076923076924,0.36153846153846153,0.13846153846153847,0.046153846153846156,0.19230769230769232
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018,Game2,119,6,0,26,29,93,26,16,0,58,16,9,26,26,125,0.7815126050420168,0.2184873949579832,0.24369747899159663,0.13445378151260504,0.0,0.48739495798319327,0.13445378151260504,0.07563025210084033,0.2184873949579832
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018,Game4,189,6,2,69,41,118,71,25,19,59,26,3,29,71,161,0.6243386243386243,0.37566137566137564,0.21693121693121692,0.13227513227513227,0.10052910052910052,0.31216931216931215,0.13756613756613756,0.015873015873015872,0.15343915343915343
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018,Game2,138,5,3,34,34,101,37,23,12,56,20,2,26,37,139,0.7318840579710145,0.26811594202898553,0.2463768115942029,0.16666666666666666,0.08695652173913043,0.4057971014492754,0.14492753623188406,0.014492753623188406,0.18840579710144928
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018,Game3,146,5,4,38,37,104,42,17,8,60,18,3,37,42,143,0.7123287671232876,0.2876712328767123,0.2534246575342466,0.11643835616438356,0.0547945205479452,0.410958904109589,0.1232876712328767,0.02054794520547945,0.2534246575342466
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018,Game2,135,5,1,36,27,98,37,23,18,44,20,4,17,37,126,0.725925925925926,0.2740740740740741,0.2,0.17037037037037037,0.13333333333333333,0.32592592592592595,0.14814814814814814,0.02962962962962963,0.1259259259259259
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018,Game3,159,5,2,26,28,131,28,19,11,49,25,5,51,28,160,0.8238993710691824,0.1761006289308176,0.1761006289308176,0.11949685534591195,0.06918238993710692,0.3081761006289308,0.15723270440251572,0.031446540880503145,0.32075471698113206
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018,Game4,164,5,2,51,27,111,53,27,1,59,18,6,28,53,139,0.676829268292683,0.3231707317073171,0.16463414634146342,0.16463414634146342,0.006097560975609756,0.3597560975609756,0.10975609756097561,0.036585365853658534,0.17073170731707318
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018,Game3,233,5,3,106,29,124,109,37,21,50,9,5,32,109,154,0.5321888412017167,0.4678111587982833,0.12446351931330472,0.15879828326180256,0.09012875536480687,0.2145922746781116,0.03862660944206009,0.02145922746781116,0.13733905579399142
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game1,142,4,0,60,14,82,60,24,12,17,6,10,27,60,96,0.5774647887323944,0.4225352112676056,0.09859154929577464,0.16901408450704225,0.08450704225352113,0.11971830985915492,0.04225352112676056,0.07042253521126761,0.19014084507042253
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game2,131,4,0,67,2,64,67,23,7,10,8,6,12,67,66,0.48854961832061067,0.5114503816793893,0.015267175572519083,0.17557251908396945,0.05343511450381679,0.07633587786259542,0.061068702290076333,0.04580152671755725,0.0916030534351145
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game3,97,4,0,48,6,49,48,5,4,6,11,8,21,48,55,0.5051546391752577,0.4948453608247423,0.061855670103092786,0.05154639175257732,0.041237113402061855,0.061855670103092786,0.1134020618556701,0.08247422680412371,0.21649484536082475
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game1,154,4,3,46,20,105,49,18,3,44,17,8,38,49,128,0.6818181818181818,0.3181818181818182,0.12987012987012986,0.11688311688311688,0.01948051948051948,0.2857142857142857,0.11038961038961038,0.05194805194805195,0.24675324675324675
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game3,126,4,4,38,14,84,42,25,14,23,7,4,26,42,99,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1984126984126984,0.1111111111111111,0.18253968253968253,0.05555555555555555,0.031746031746031744,0.20634920634920634
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game4,80,4,0,15,19,65,15,16,17,23,15,5,10,15,86,0.8125,0.1875,0.2375,0.2,0.2125,0.2875,0.1875,0.0625,0.125
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game1,112,4,2,11,33,99,13,29,12,50,18,7,20,13,136,0.8839285714285714,0.11607142857142858,0.29464285714285715,0.25892857142857145,0.10714285714285714,0.44642857142857145,0.16071428571428573,0.0625,0.17857142857142858
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game2,104,4,1,22,23,81,23,12,16,37,11,5,26,23,107,0.7788461538461539,0.22115384615384615,0.22115384615384615,0.11538461538461539,0.15384615384615385,0.3557692307692308,0.10576923076923077,0.04807692307692308,0.25
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game3,100,4,0,39,21,61,39,20,19,24,6,2,12,39,83,0.61,0.39,0.21,0.2,0.19,0.24,0.06,0.02,0.12
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game4,27,4,0,13,4,14,13,2,2,5,3,1,5,13,18,0.5185185185185185,0.48148148148148145,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.18518518518518517
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game5,90,4,3,30,19,57,33,15,15,21,7,5,15,33,78,0.6333333333333333,0.36666666666666664,0.2111111111111111,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.07777777777777778,0.05555555555555555,0.16666666666666666
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018,Game4,136,4,0,34,19,102,34,11,37,33,12,2,27,34,122,0.75,0.25,0.13970588235294118,0.08088235294117647,0.27205882352941174,0.2426470588235294,0.08823529411764706,0.014705882352941176,0.19852941176470587
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018,Game6,111,4,0,22,13,89,22,9,10,41,11,5,27,22,103,0.8018018018018018,0.1981981981981982,0.11711711711711711,0.08108108108108109,0.09009009009009009,0.36936936936936937,0.0990990990990991,0.04504504504504504,0.24324324324324326
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016,Game1,103,4,0,39,4,64,39,9,3,10,16,6,24,39,68,0.6213592233009708,0.3786407766990291,0.038834951456310676,0.08737864077669903,0.02912621359223301,0.0970873786407767,0.1553398058252427,0.05825242718446602,0.23300970873786409
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019,Game3,135,5,1,52,12,82,53,10,29,34,9,0,12,53,94,0.6074074074074074,0.3925925925925926,0.08888888888888889,0.07407407407407407,0.21481481481481482,0.2518518518518518,0.06666666666666667,0.0,0.08888888888888889
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016,Game1,75,4,0,46,1,29,46,5,2,3,4,6,10,46,30,0.38666666666666666,0.6133333333333333,0.013333333333333334,0.06666666666666667,0.02666666666666667,0.04,0.05333333333333334,0.08,0.13333333333333333
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016,Game2,109,4,0,57,4,52,57,16,0,5,11,5,19,57,56,0.47706422018348627,0.5229357798165137,0.03669724770642202,0.14678899082568808,0.0,0.045871559633027525,0.10091743119266056,0.045871559633027525,0.1743119266055046
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game1,182,4,0,61,28,121,61,23,16,52,11,7,40,61,149,0.6648351648351648,0.33516483516483514,0.15384615384615385,0.12637362637362637,0.08791208791208792,0.2857142857142857,0.06043956043956044,0.038461538461538464,0.21978021978021978
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game2,71,4,1,20,5,50,21,2,12,18,11,0,13,21,56,0.704225352112676,0.29577464788732394,0.07042253521126761,0.028169014084507043,0.16901408450704225,0.2535211267605634,0.15492957746478872,0.0,0.18309859154929578
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019,Game1,150,4,1,58,23,91,59,13,11,40,14,8,30,59,116,0.6066666666666667,0.3933333333333333,0.15333333333333332,0.08666666666666667,0.07333333333333333,0.26666666666666666,0.09333333333333334,0.05333333333333334,0.2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game3,141,4,0,40,18,101,40,12,11,35,14,7,42,40,121,0.7163120567375887,0.28368794326241137,0.1276595744680851,0.0851063829787234,0.07801418439716312,0.24822695035460993,0.09929078014184398,0.04964539007092199,0.2978723404255319
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game4,90,4,0,24,8,66,24,5,8,32,4,2,23,24,74,0.7333333333333333,0.26666666666666666,0.08888888888888889,0.05555555555555555,0.08888888888888889,0.35555555555555557,0.044444444444444446,0.022222222222222223,0.25555555555555554
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game5,127,4,0,66,6,61,66,12,11,5,11,6,22,66,67,0.48031496062992124,0.5196850393700787,0.047244094488188976,0.09448818897637795,0.08661417322834646,0.03937007874015748,0.08661417322834646,0.047244094488188976,0.1732283464566929
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game1,98,4,0,54,2,44,54,7,1,4,10,6,18,54,46,0.4489795918367347,0.5510204081632653,0.02040816326530612,0.07142857142857142,0.01020408163265306,0.04081632653061224,0.10204081632653061,0.061224489795918366,0.1836734693877551
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game2,138,4,0,92,1,46,92,13,2,6,5,2,19,92,47,0.3333333333333333,0.6666666666666666,0.007246376811594203,0.09420289855072464,0.014492753623188406,0.043478260869565216,0.036231884057971016,0.014492753623188406,0.13768115942028986
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game3,171,4,0,107,2,64,107,19,6,9,11,6,15,107,66,0.3742690058479532,0.6257309941520468,0.011695906432748537,0.1111111111111111,0.03508771929824561,0.05263157894736842,0.06432748538011696,0.03508771929824561,0.08771929824561403
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game4,109,4,0,41,32,68,41,30,4,32,17,12,12,41,107,0.6238532110091743,0.3761467889908257,0.29357798165137616,0.27522935779816515,0.03669724770642202,0.29357798165137616,0.1559633027522936,0.11009174311926606,0.11009174311926606
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016,Game1,149,5,0,80,24,69,80,11,6,31,20,8,21,80,97,0.46308724832214765,0.5369127516778524,0.1610738255033557,0.0738255033557047,0.040268456375838924,0.2080536912751678,0.1342281879194631,0.053691275167785234,0.14093959731543623
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016,Game4,51,5,0,12,14,39,12,10,2,9,16,3,13,12,53,0.7647058823529411,0.23529411764705882,0.27450980392156865,0.19607843137254902,0.0392156862745098,0.17647058823529413,0.3137254901960784,0.058823529411764705,0.2549019607843137
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019,Game2,129,4,0,68,6,61,68,19,9,13,9,5,12,68,67,0.4728682170542636,0.5271317829457365,0.046511627906976744,0.14728682170542637,0.06976744186046512,0.10077519379844961,0.06976744186046512,0.03875968992248062,0.09302325581395349
